u,v,key,osmid,name,highway,length,speed_kph,travel_time,lanes,maxspeed,oneway
16576141,1096387419,0,94368436,Strada Amforei,residential,127.38468389581486,50.0,9.171697240498672,1,RO:urban,True
16576141,16576190,0,"[164413155, 1234653454]",Strada Timiș,residential,248.39152808528013,50.0,17.88419002214017,1,RO:urban,True
16576142,10989764812,0,4849985,Strada Amforei,residential,76.12081893258946,50.0,5.480698963146441,,RO:urban,False
16576142,31226614,0,"[94368433, 94368429]",Strada Labirint,residential,378.8419080744055,50.0,27.2766173813572,,RO:urban,True
16576161,1096387417,0,1297193698,Strada Dropiei,residential,15.311875039275792,50.0,1.102455002827857,,RO:urban,False
16576161,1096387420,0,"[1297193741, 94368437]",Strada Labirint,residential,140.06005313720993,50.0,10.084323825879116,,RO:urban,True
16576161,1096387419,0,94368440,Strada Labirint,residential,149.4608023186092,50.0,10.761177766939863,,RO:urban,True
16576168,16576174,0,4849982,Strada Teiului,residential,210.6515293386404,50.0,15.166910112382109,2,RO:urban,True
16576168,16576141,0,76839609,Strada Amforei,residential,228.64789661256262,50.0,16.46264855610451,1,RO:urban,True
16576174,16576182,0,4849982,Strada Teiului,residential,91.72094174292617,50.0,6.603907805490684,2,RO:urban,True
16576174,2064010339,0,441405307,Strada Burebista,residential,149.43282799852855,50.0,10.759163615894057,2,50,False
16576181,387680280,0,39066902,Strada Stelelor,residential,22.327810481487987,50.0,1.6076023546671352,,RO:urban,False
16576181,31225255,0,88309800,Strada Stelelor,residential,31.583334765297742,50.0,2.274000103101437,,RO:urban,False
16576182,31260452,0,"[39066900, 4849982]","['Strada Brândușei', 'Strada Teiului']",residential,392.45883885989923,50.0,28.257036397912746,"['2', '1']",RO:urban,True
16576190,2057449821,0,41392121,Strada Timiș,residential,42.6604109499766,50.0,3.0715495883983155,2,RO:urban,False
16576190,1096387420,0,1157049623,Strada Labirint,residential,104.17381974569605,50.0,7.5005150216901155,,RO:urban,False
16576504,8434736914,0,615134845,Calea Circumvalațiunii,primary,49.619878224958555,50.0,3.572631232197016,4,50,False
16576504,270459186,0,24891540,Strada Gheorghe Cucu,residential,78.42967297012284,50.0,5.646936453848844,2,RO:urban,False
16576504,2064006988,0,"[8137321, 855304036, 615134839]",Calea Circumvalațiunii,primary,139.67420216729207,50.0,10.056542556045029,4,50,False
21515943,21515944,0,"[4863098, 541442755]",Bulevardul 16 Decembrie 1989,secondary,162.91656899145428,50.0,11.72999296738471,2,"['RO:urban', '50']",True
21515944,21515982,0,4370818,Piața Alexandru Mocioni,residential,37.02962139737085,30.0,4.443554567684502,,30,False
21515944,1875029208,0,"[541442755, 4863103]",Bulevardul 16 Decembrie 1989,secondary,74.3915774459341,50.0,5.356193576107256,2,RO:urban,True
21515946,2072127821,0,24476991,Strada Andrei Mureșeanu,residential,237.35153255499768,50.0,17.089310343959834,,RO:urban,False
21515946,25689339,0,"[435620524, 729925375]",Splaiul Nicolae Titulescu,tertiary,415.4821088072658,50.0,29.914711834123136,"['2', '1']",50,True
21515948,2072081945,0,97935207,Strada Anton Seiler,residential,211.65801151702215,50.0,15.239376829225597,,RO:urban,False
21515948,21515946,0,435620524,Splaiul Nicolae Titulescu,tertiary,105.31389820464092,50.0,7.582600670734147,1,50,True
21515980,6453307467,0,31139760,Bulevardul 16 Decembrie 1989,secondary,116.2387375626038,50.0,8.369189104507475,2,50,True
21515982,26650910,0,133821941,Strada Ion Heliade Rădulescu,residential,155.6605821386989,30.0,18.67926985664387,,30,True
21515982,267639975,0,445296049,Piața Alexandru Mocioni,residential,107.8239443163268,50.0,7.76332399077553,,RO:urban,False
21515982,21515944,0,4370818,Piața Alexandru Mocioni,residential,37.02962139737085,30.0,4.443554567684502,,30,False
21515983,21515980,0,24479351,Strada Moților,residential,127.54544549164505,30.0,15.305453458997407,,30,True
21515983,267639975,0,96021762,Strada August Treboniu Laurian,residential,81.83932021467331,50.0,5.892431055456479,,RO:urban,False
21515983,26650907,0,96021762,Strada August Treboniu Laurian,residential,106.15027339456293,50.0,7.642819684408531,,RO:urban,False
