leisure,name,is_in_city,name_de,name_en,wikidata,check_date,foot,name_ro,old_name_-1993,alt_name,old_name,old_name_-2012,landuse,access,old_name_-1990,addr_city,addr_street,place,bicycle,opening_hours,leaf_cycle,leaf_type,level,addr_housenumber,addr_postcode,addr_postcode_source,source,natural,religion,type,alt_name_de,alt_name_ro,category,intermittent,water,salt,tidal,man_made,basin,amenity,cuisine,phone,website,check_date_opening_hours,addr_country,internet_access,outdoor_seating,smoking,delivery,air_conditioning,beds,rooms,stars,tourism,_tip_,note,diet_vegetarian,website_menu,description,email,wifi,capacity,takeaway,wheelchair,diet_vegan,indoor_seating,organic,payment_credit_cards,payment_debit_cards,brand,brand_wikidata,brand_wikipedia,contact_email,contact_facebook,contact_instagram,contact_phone,contact_website,contact_youtube,operator,toilets_wheelchair,handwashing_soap,toilets,toilets_access,toilets_paper_supplied,opening_hours_signed,addr_neighbourhood,bar,building,diet_meat,building_material,height,roof_colour,roof_shape,building_levels,building_roof_shape,internet_access_fee,payment_cash,payment_contactless,official_name,facebook,theme,compressed_air,fuel_lpg,contact_tiktok,name_ru,fuel_diesel,tiktok,fuel_octane_100,fuel_octane_95,fuel_octane_98,maxheight,fuel_octane,mapillary,survey_date,parking,fee,fee_conditional,supervised,surface,capacity_disabled,charge,operator_type,psv,park_ride,maxstay,covered,smoothness,area,construction_end_expected,source_capacity,layer,orientation,bus,parking_orientation,emergency,healthcare,building_facade_colour,wikipedia,healthcare_speciality,barrier,education,is_in_country,is_in_county,start_date,name_hu,grades,fixme,official_name_en,official_name_ro,atm,drive_through,brand_en,brand_ro,addr_housename,branch,operator_wikidata,operator_wikipedia,short_name,dispensing,historic,artwork_type,name_pl,archaeological_site,historic_civilization,author,material,memorial,locomotive_type,inscription,denomination,defensive_works,wikipedia_de,name_el,heritage,heritage_operator,ref_RO_lmi,wikimedia_commons,ruins,aircraft_type,manufacturer,manufacturer_wikidata,manufacturer_wikipedia,model_wikidata,model_wikipedia,ref,castle_type,SIRUTA_code,codul_entității_muzeale,description_ro,fax,source_link,tourism_survey,contact_fax,museum_type,museum,direction,building_colour,name_sr,bridge_structure,lat,lon
park,Parcul Rozelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7501447,21.2317996
,Restaurant Tinecz,,,,,,,,,,,,,,,Timișoara,Calea Aradului,,,Mo-Su 11:00-23:00,,,,51,,,,,,,,,restaurants,,,,,,,restaurant,regional,0736 660 787,https://www.restauranttinecz.ro/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7710081,21.2221875
,Iris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7746345,21.2147065
,Pizzeria Rebecca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7754256,21.2240089
,Pizzeria Amedeea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7757755,21.2310551
,Restaurant Bavaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7685836,21.2359475
,Lloyd,,,,,2025-08-12,,,,,,,,,,,,,,"Mo-Fr 08:00-24:00, Sa,Su 10:00-24:00",,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.753548,21.2252335
,Lepa Brena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7684393,21.2651241
,Filiberto Ristorante e Pizzeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7760909,21.2229219
,Pizzaiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7698443,21.2220971
